176.9.117.99 - - "2020-03-16 01:24:21" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/193 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
176.9.117.99 - - "2020-03-16 01:24:25" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/126 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
176.9.117.99 - - "2020-03-16 01:24:27" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/download/126/96 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
176.9.117.99 - - "2020-03-16 01:24:30" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/145 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
176.9.117.99 - - "2020-03-16 01:24:35" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/207 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
176.9.117.99 - - "2020-03-16 01:24:38" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/202 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
176.9.117.99 - - "2020-03-16 01:24:42" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/112 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
176.9.117.99 - - "2020-03-16 01:24:47" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/134 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
176.9.117.99 - - "2020-03-16 01:24:51" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/110 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
176.9.117.99 - - "2020-03-16 01:24:55" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/301 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
176.9.117.99 - - "2020-03-16 01:24:58" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/149 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
176.9.117.99 - - "2020-03-16 01:25:02" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/148 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
176.9.117.99 - - "2020-03-16 01:25:05" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/147 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
176.9.117.99 - - "2020-03-16 01:25:08" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/146 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
176.9.117.99 - - "2020-03-16 01:25:12" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/144 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
176.9.117.99 - - "2020-03-16 01:25:16" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/143 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
176.9.117.99 - - "2020-03-16 01:25:21" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/302 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
176.9.117.99 - - "2020-03-16 01:25:24" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/299 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
176.9.117.99 - - "2020-03-16 01:25:31" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/296 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
176.9.117.99 - - "2020-03-16 01:25:39" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/142 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
176.9.117.99 - - "2020-03-16 01:25:41" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/124 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
176.9.117.99 - - "2020-03-16 01:25:45" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/300 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
176.9.117.99 - - "2020-03-16 01:25:49" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/240 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
176.9.117.99 - - "2020-03-16 01:25:53" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/209 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
176.9.117.99 - - "2020-03-16 01:25:57" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/183 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
176.9.117.99 - - "2020-03-16 01:26:01" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/182 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
176.9.117.99 - - "2020-03-16 01:26:04" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/161 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
176.9.117.99 - - "2020-03-16 01:26:09" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/212 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
176.9.117.99 - - "2020-03-16 01:26:13" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/186 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
176.9.117.99 - - "2020-03-16 01:26:19" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/169 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
176.9.117.99 - - "2020-03-16 01:26:23" http://mabasan.kemdikbud.go.id/index.php/MABASAN/article/view/187 200 "Mozilla/5.0 (compatible; MegaIndex.ru/2.0; +http://megaindex.com/crawler)"
